,date,teamAway,teamHome,attendance
0,16/06/2022,Golden State Warriors,Boston Celtics,19156
1,13/06/2022,Boston Celtics,Golden State Warriors,18064
2,10/06/2022,Golden State Warriors,Boston Celtics,19156
3,08/06/2022,Golden State Warriors,Boston Celtics,19156
4,05/06/2022,Boston Celtics,Golden State Warriors,18064
5,02/06/2022,Boston Celtics,Golden State Warriors,18064
6,29/05/2022,Boston Celtics,Miami Heat,20200
7,27/05/2022,Miami Heat,Boston Celtics,19156
8,26/05/2022,Dallas Mavericks,Golden State Warriors,18064
9,25/05/2022,Boston Celtics,Miami Heat,19819
10,24/05/2022,Golden State Warriors,Dallas Mavericks,20810
11,23/05/2022,Miami Heat,Boston Celtics,19156
12,22/05/2022,Golden State Warriors,Dallas Mavericks,20813
13,21/05/2022,Miami Heat,Boston Celtics,19156
14,20/05/2022,Dallas Mavericks,Golden State Warriors,18064
15,19/05/2022,Boston Celtics,Miami Heat,20100
16,18/05/2022,Dallas Mavericks,Golden State Warriors,18064
17,17/05/2022,Boston Celtics,Miami Heat,19774
18,15/05/2022,Milwaukee Bucks,Boston Celtics,19156
19,15/05/2022,Dallas Mavericks,Phoenix Suns,17071
20,13/05/2022,Memphis Grizzlies,Golden State Warriors,18064
21,13/05/2022,Boston Celtics,Milwaukee Bucks,17681
22,12/05/2022,Phoenix Suns,Dallas Mavericks,20777
23,12/05/2022,Miami Heat,Philadelphia 76ers,21082
24,11/05/2022,Milwaukee Bucks,Boston Celtics,19156
25,11/05/2022,Golden State Warriors,Memphis Grizzlies,17794
26,10/05/2022,Philadelphia 76ers,Miami Heat,19868
27,10/05/2022,Dallas Mavericks,Phoenix Suns,17071
28,09/05/2022,Memphis Grizzlies,Golden State Warriors,18064
29,09/05/2022,Boston Celtics,Milwaukee Bucks,17505
30,08/05/2022,Phoenix Suns,Dallas Mavericks,20610
31,08/05/2022,Miami Heat,Philadelphia 76ers,21194
32,07/05/2022,Memphis Grizzlies,Golden State Warriors,18064
33,07/05/2022,Boston Celtics,Milwaukee Bucks,17736
34,06/05/2022,Phoenix Suns,Dallas Mavericks,20777
35,06/05/2022,Miami Heat,Philadelphia 76ers,21033
36,04/05/2022,Philadelphia 76ers,Miami Heat,19759
37,04/05/2022,Dallas Mavericks,Phoenix Suns,17071
38,03/05/2022,Milwaukee Bucks,Boston Celtics,19156
39,03/05/2022,Golden State Warriors,Memphis Grizzlies,17794
40,02/05/2022,Philadelphia 76ers,Miami Heat,19620
41,02/05/2022,Dallas Mavericks,Phoenix Suns,17071
42,01/05/2022,Milwaukee Bucks,Boston Celtics,19156
43,01/05/2022,Golden State Warriors,Memphis Grizzlies,17794
44,29/04/2022,Memphis Grizzlies,Minnesota Timberwolves,20323
45,28/04/2022,Phoenix Suns,New Orleans Pelicans,18710
46,28/04/2022,Philadelphia 76ers,Toronto Raptors,19800
47,28/04/2022,Dallas Mavericks,Utah Jazz,18306
48,27/04/2022,Denver Nuggets,Golden State Warriors,18064
49,27/04/2022,Chicago Bulls,Milwaukee Bucks,17506
50,26/04/2022,Minnesota Timberwolves,Memphis Grizzlies,17794
51,26/04/2022,Atlanta Hawks,Miami Heat,19553
52,26/04/2022,New Orleans Pelicans,Phoenix Suns,17071
53,25/04/2022,Boston Celtics,Brooklyn Nets,18099
54,25/04/2022,Utah Jazz,Dallas Mavericks,20577
55,25/04/2022,Toronto Raptors,Philadelphia 76ers,20517
56,24/04/2022,Miami Heat,Atlanta Hawks,18951
57,24/04/2022,Milwaukee Bucks,Chicago Bulls,22020
58,24/04/2022,Golden State Warriors,Denver Nuggets,19628
59,24/04/2022,Phoenix Suns,New Orleans Pelicans,18962
60,23/04/2022,Boston Celtics,Brooklyn Nets,18175
61,23/04/2022,Memphis Grizzlies,Minnesota Timberwolves,19832
62,23/04/2022,Philadelphia 76ers,Toronto Raptors,19800
63,23/04/2022,Dallas Mavericks,Utah Jazz,18306
64,22/04/2022,Miami Heat,Atlanta Hawks,18421
65,22/04/2022,Milwaukee Bucks,Chicago Bulls,22667
66,22/04/2022,Phoenix Suns,New Orleans Pelicans,18962
67,21/04/2022,Golden State Warriors,Denver Nuggets,19627
68,21/04/2022,Memphis Grizzlies,Minnesota Timberwolves,19634
69,21/04/2022,Dallas Mavericks,Utah Jazz,18306
70,20/04/2022,Brooklyn Nets,Boston Celtics,19156
71,20/04/2022,Chicago Bulls,Milwaukee Bucks,17688
72,20/04/2022,Philadelphia 76ers,Toronto Raptors,19800
73,19/04/2022,Minnesota Timberwolves,Memphis Grizzlies,17794
74,19/04/2022,Atlanta Hawks,Miami Heat,19950
75,19/04/2022,New Orleans Pelicans,Phoenix Suns,17071
76,18/04/2022,Utah Jazz,Dallas Mavericks,20113
77,18/04/2022,Denver Nuggets,Golden State Warriors,18064
78,18/04/2022,Toronto Raptors,Philadelphia 76ers,20974
79,17/04/2022,Brooklyn Nets,Boston Celtics,19156
80,17/04/2022,Atlanta Hawks,Miami Heat,19514
81,17/04/2022,Chicago Bulls,Milwaukee Bucks,17717
82,17/04/2022,New Orleans Pelicans,Phoenix Suns,17071
83,16/04/2022,Utah Jazz,Dallas Mavericks,20013
84,16/04/2022,Denver Nuggets,Golden State Warriors,18064
85,16/04/2022,Minnesota Timberwolves,Memphis Grizzlies,17794
86,16/04/2022,Toronto Raptors,Philadelphia 76ers,20610
87,15/04/2022,Atlanta Hawks,Cleveland Cavaliers,19432
88,15/04/2022,New Orleans Pelicans,Los Angeles Clippers,19068
89,13/04/2022,Charlotte Hornets,Atlanta Hawks,18137
90,13/04/2022,San Antonio Spurs,New Orleans Pelicans,18610
91,12/04/2022,Cleveland Cavaliers,Brooklyn Nets,17732
92,12/04/2022,Los Angeles Clippers,Minnesota Timberwolves,17136
93,10/04/2022,Indiana Pacers,Brooklyn Nets,17967
94,10/04/2022,Washington Wizards,Charlotte Hornets,18465
95,10/04/2022,Milwaukee Bucks,Cleveland Cavaliers,19432
96,10/04/2022,San Antonio Spurs,Dallas Mavericks,20270
97,10/04/2022,Los Angeles Lakers,Denver Nuggets,19520
98,10/04/2022,Atlanta Hawks,Houston Rockets,18055
99,10/04/2022,Oklahoma City Thunder,Los Angeles Clippers,18210
100,10/04/2022,Boston Celtics,Memphis Grizzlies,17441
101,10/04/2022,Chicago Bulls,Minnesota Timberwolves,17136
102,10/04/2022,Golden State Warriors,New Orleans Pelicans,16595
103,10/04/2022,Toronto Raptors,New York Knicks,19812
104,10/04/2022,Miami Heat,Orlando Magic,19253
105,10/04/2022,Detroit Pistons,Philadelphia 76ers,21459
106,10/04/2022,Sacramento Kings,Phoenix Suns,17071
107,10/04/2022,Utah Jazz,Portland Trail Blazers,18123
108,09/04/2022,Sacramento Kings,Los Angeles Clippers,17568
109,09/04/2022,New Orleans Pelicans,Memphis Grizzlies,17207
110,09/04/2022,Indiana Pacers,Philadelphia 76ers,21171
111,09/04/2022,Golden State Warriors,San Antonio Spurs,18627
112,08/04/2022,Cleveland Cavaliers,Brooklyn Nets,18169
113,08/04/2022,Charlotte Hornets,Chicago Bulls,21461
114,08/04/2022,Portland Trail Blazers,Dallas Mavericks,20174
115,08/04/2022,Milwaukee Bucks,Detroit Pistons,22088
116,08/04/2022,Oklahoma City Thunder,Los Angeles Lakers,18997
117,08/04/2022,Atlanta Hawks,Miami Heat,19993
118,08/04/2022,Houston Rockets,Toronto Raptors,19800
119,08/04/2022,Phoenix Suns,Utah Jazz,18306
120,08/04/2022,New York Knicks,Washington Wizards,19472
121,07/04/2022,Orlando Magic,Charlotte Hornets,16427
122,07/04/2022,Memphis Grizzlies,Denver Nuggets,19520
123,07/04/2022,Los Angeles Lakers,Golden State Warriors,18064
124,07/04/2022,Boston Celtics,Milwaukee Bucks,18046
125,07/04/2022,San Antonio Spurs,Minnesota Timberwolves,17136
126,07/04/2022,Portland Trail Blazers,New Orleans Pelicans,12432
127,07/04/2022,Philadelphia 76ers,Toronto Raptors,19800
128,06/04/2022,Washington Wizards,Atlanta Hawks,17381
129,06/04/2022,Boston Celtics,Chicago Bulls,21095
130,06/04/2022,Dallas Mavericks,Detroit Pistons,18422
131,06/04/2022,Phoenix Suns,Los Angeles Clippers,19068
132,06/04/2022,Brooklyn Nets,New York Knicks,19812
133,06/04/2022,Oklahoma City Thunder,Utah Jazz,18306
134,05/04/2022,Houston Rockets,Brooklyn Nets,17768
135,05/04/2022,Milwaukee Bucks,Chicago Bulls,20799
136,05/04/2022,San Antonio Spurs,Denver Nuggets,17037
137,05/04/2022,Philadelphia 76ers,Indiana Pacers,15583
138,05/04/2022,Charlotte Hornets,Miami Heat,19600
139,05/04/2022,Washington Wizards,Minnesota Timberwolves,17136
140,05/04/2022,Portland Trail Blazers,Oklahoma City Thunder,14674
141,05/04/2022,Cleveland Cavaliers,Orlando Magic,16897
142,05/04/2022,Los Angeles Lakers,Phoenix Suns,17071
143,05/04/2022,New Orleans Pelicans,Sacramento Kings,16047
144,05/04/2022,Atlanta Hawks,Toronto Raptors,19800
145,05/04/2022,Memphis Grizzlies,Utah Jazz,18306
146,03/04/2022,Washington Wizards,Boston Celtics,19156
147,03/04/2022,Philadelphia 76ers,Cleveland Cavaliers,19432
148,03/04/2022,Minnesota Timberwolves,Houston Rockets,16539
149,03/04/2022,Detroit Pistons,Indiana Pacers,17407
150,03/04/2022,New Orleans Pelicans,Los Angeles Clippers,16840
151,03/04/2022,Denver Nuggets,Los Angeles Lakers,18997
152,03/04/2022,Dallas Mavericks,Milwaukee Bucks,17902
153,03/04/2022,Phoenix Suns,Oklahoma City Thunder,17078
154,03/04/2022,New York Knicks,Orlando Magic,15747
155,03/04/2022,Golden State Warriors,Sacramento Kings,17583
156,03/04/2022,Portland Trail Blazers,San Antonio Spurs,15816
157,03/04/2022,Miami Heat,Toronto Raptors,19800
158,02/04/2022,Brooklyn Nets,Atlanta Hawks,18126
159,02/04/2022,Miami Heat,Chicago Bulls,21697
160,02/04/2022,Utah Jazz,Golden State Warriors,18064
161,02/04/2022,Cleveland Cavaliers,New York Knicks,19812
162,02/04/2022,Charlotte Hornets,Philadelphia 76ers,21509
163,01/04/2022,Indiana Pacers,Boston Celtics,19156
164,01/04/2022,Minnesota Timberwolves,Denver Nuggets,19612
165,01/04/2022,Sacramento Kings,Houston Rockets,14857
166,01/04/2022,New Orleans Pelicans,Los Angeles Lakers,18997
167,01/04/2022,Phoenix Suns,Memphis Grizzlies,17794
168,01/04/2022,Los Angeles Clippers,Milwaukee Bucks,18023
169,01/04/2022,Detroit Pistons,Oklahoma City Thunder,16961
170,01/04/2022,Toronto Raptors,Orlando Magic,17566
171,01/04/2022,Portland Trail Blazers,San Antonio Spurs,17512
172,01/04/2022,Dallas Mavericks,Washington Wizards,17745
173,31/03/2022,Cleveland Cavaliers,Atlanta Hawks,17491
174,31/03/2022,Milwaukee Bucks,Brooklyn Nets,17917
175,31/03/2022,Los Angeles Clippers,Chicago Bulls,21519
176,31/03/2022,Philadelphia 76ers,Detroit Pistons,20023
177,31/03/2022,Los Angeles Lakers,Utah Jazz,18306
178,30/03/2022,Miami Heat,Boston Celtics,0
179,30/03/2022,Dallas Mavericks,Cleveland Cavaliers,19432
180,30/03/2022,Phoenix Suns,Golden State Warriors,18064
181,30/03/2022,Sacramento Kings,Houston Rockets,13365
182,30/03/2022,Denver Nuggets,Indiana Pacers,15036
183,30/03/2022,Charlotte Hornets,New York Knicks,19812
